交易序號,信用卡ID,客戶ID,刷卡日期,刷卡產品產業分類,刷卡類型,刷卡金額,刷卡地點
9581,13327,605,7/19/11,06_公用事業,一般消費,10,國內
9582,14229,4210,7/19/11,12_量販超市,一般消費,6,國內
9583,14229,4210,7/19/11,12_量販超市,一般消費,1093,國內
9584,14240,15933,7/19/11,07_百貨,一般消費,12300,國內
9585,14438,4819,7/19/11,13_交通(含加值),一般消費,700,國內
9593,17286,17586,7/19/11,X2.中信錢加值,一般消費,500,國內
9595,18162,11368,7/19/11,09_餐飲,一般消費,671,國內
9600,1431,5287,7/20/11,09_餐飲,一般消費,500,國內
9602,1563,4612,7/20/11,15_休閒文化,一般消費,580,國內
9605,6448,15195,7/20/11,08_精品,一般消費,3516,國內
9606,6826,13687,7/20/11,12_量販超市,一般消費,1343,國內
9611,7016,861,7/20/11,16_無店舖,一般消費,5000,國內
9628,12077,6118,7/20/11,12_量販超市,一般消費,833,國內
9634,12797,19483,7/20/11,08_精品,一般消費,2380,國內
9636,12989,3044,7/20/11,06_公用事業,一般消費,10,國內
9637,13327,605,7/20/11,06_公用事業,一般消費,10,國內
9643,14229,4210,7/20/11,12_量販超市,一般消費,39,國內
9655,1431,5287,7/21/11,07_百貨,一般消費,469,國內
9656,1431,5287,7/21/11,12_量販超市,一般消費,800,國內
9661,7016,861,7/21/11,16_無店舖,一般消費,5000,國內
9662,7016,861,7/21/11,16_無店舖,一般消費,5000,國內
9668,10976,2955,7/21/11,13_交通(含加值),一般消費,1668,國內
9679,14636,13687,7/21/11,13_交通(含加值),一般消費,1000,國內
9680,15180,920,7/21/11,13_交通(含加值),一般消費,2345,國內
9692,1431,5287,7/22/11,07_百貨,一般消費,638,國內
9693,1431,5287,7/22/11,07_百貨,一般消費,1800,國內
9695,6826,13687,7/22/11,02_學費/教育,一般消費,7200,國內
9698,7016,861,7/22/11,16_無店舖,一般消費,2000,國內
9706,9387,16756,7/22/11,11_3C居家電信,一般消費,310,國外
9711,10646,19639,7/22/11,13_交通(含加值),一般消費,932,國內
9712,10745,106,7/22/11,13_交通(含加值),一般消費,500,國內
9721,12077,6118,7/22/11,09_餐飲,一般消費,1340,國內
9722,12193,10121,7/22/11,03_保險,一般消費,826,國內
9723,12193,10121,7/22/11,03_保險,一般消費,1404,國內
9727,12820,1896,7/22/11,13_交通(含加值),一般消費,500,國內
9738,18174,1747,7/22/11,03_保險,一般消費,1008,國內
9744,1431,5287,7/25/11,07_百貨,一般消費,175,國內
9745,1431,5287,7/25/11,09_餐飲,一般消費,730,國內
9748,6448,15195,7/25/11,14_旅遊,一般消費,93928,國內
9749,6826,13687,7/25/11,13_交通(含加值),一般消費,590,國內
9750,6826,13687,7/25/11,07_百貨,一般消費,4631,國內
9751,6847,5287,7/25/11,15_休閒文化,一般消費,3324,國內
9754,7051,16697,7/25/11,12_量販超市,一般消費,174,國內
9756,7582,13546,7/25/11,13_交通(含加值),一般消費,628,國內
9757,7896,179,7/25/11,09_餐飲,一般消費,2024,國內
9758,8143,131,7/25/11,13_交通(含加值),一般消費,1391,國內
9773,9625,4028,7/25/11,11_3C居家電信,一般消費,195,國內
9782,10740,17190,7/25/11,11_3C居家電信,一般消費,107,國內
9783,10740,17190,7/25/11,11_3C居家電信,一般消費,383,國內
9784,10740,17190,7/25/11,11_3C居家電信,一般消費,421,國內
9794,11774,8032,7/25/11,13_交通(含加值),一般消費,951,國內
9805,12797,19483,7/25/11,15_休閒文化,一般消費,200,國內
9807,12989,3044,7/25/11,06_公用事業,一般消費,10,國內
9808,12989,3044,7/25/11,06_公用事業,一般消費,10,國內
9809,12989,3044,7/25/11,06_公用事業,一般消費,20,國內
9811,13327,605,7/25/11,06_公用事業,一般消費,10,國內
9812,13327,605,7/25/11,06_公用事業,一般消費,10,國內
9813,13327,605,7/25/11,06_公用事業,一般消費,15,國內
9814,13327,605,7/25/11,06_公用事業,一般消費,20,國內
9818,14438,4819,7/25/11,13_交通(含加值),一般消費,500,國內
9833,15130,5978,7/25/11,13_交通(含加值),一般消費,185,國內
9839,16097,8927,7/25/11,12_量販超市,一般消費,1496,國內
9840,16097,8927,7/25/11,12_量販超市,一般消費,1704,國內
9846,17495,13863,7/25/11,11_3C居家電信,一般消費,1125,國內
9853,1431,5287,7/26/11,12_量販超市,一般消費,832,國內
9854,1472,5963,7/26/11,13_交通(含加值),一般消費,120,國內
9856,6826,13687,7/26/11,13_交通(含加值),一般消費,390,國內
9857,6826,13687,7/26/11,12_量販超市,一般消費,1160,國內
9860,7016,861,7/26/11,16_無店舖,一般消費,1000,國內
9861,7051,16697,7/26/11,12_量販超市,一般消費,214,國內
9869,8808,261,7/26/11,13_交通(含加值),一般消費,1244,國內
9873,9338,10195,7/26/11,13_交通(含加值),一般消費,1606,國內
9875,10102,6256,7/26/11,06_公用事業,一般消費,188,國內
9876,10102,6256,7/26/11,06_公用事業,一般消費,947,國內
9889,12989,3044,7/26/11,06_公用事業,一般消費,10,國內
9896,13327,605,7/26/11,06_公用事業,一般消費,10,國內
9907,18162,11368,7/26/11,14_旅遊,一般消費,12200,國內
9912,1563,4612,7/27/11,08_精品,一般消費,4340,國內
9917,6448,15195,7/27/11,15_休閒文化,一般消費,720,國內
9918,6448,15195,7/27/11,09_餐飲,一般消費,3119,國內
9935,10646,19639,7/27/11,11_3C居家電信,一般消費,14028,國內
9951,12989,3044,7/27/11,06_公用事業,一般消費,20,國內
9953,13327,605,7/27/11,06_公用事業,一般消費,100,國內
9956,14229,4210,7/27/11,12_量販超市,一般消費,819,國內
9957,14438,4819,7/27/11,13_交通(含加值),一般消費,700,國內
9958,15180,920,7/27/11,13_交通(含加值),一般消費,2427,國內
9959,15250,6527,7/27/11,12_量販超市,一般消費,1701,國內
9967,17286,17586,7/27/11,13_交通(含加值),一般消費,395,國內
9968,17286,17586,7/27/11,15_休閒文化,一般消費,399,國內
9969,17286,17586,7/27/11,X2.中信錢加值,一般消費,500,國內
9980,7016,861,7/28/11,16_無店舖,一般消費,5000,國內
9984,10740,17190,7/28/11,10_藥妝,一般消費,720,國內
9987,11774,8032,7/28/11,13_交通(含加值),一般消費,500,國內
9988,11774,8032,7/28/11,13_交通(含加值),一般消費,500,國內
9989,12077,6118,7/28/11,15_休閒文化,一般消費,530,國內
9990,12077,6118,7/28/11,13_交通(含加值),一般消費,1582,國內
9995,12797,19483,7/28/11,11_3C居家電信,一般消費,1819,國內
9996,13327,605,7/28/11,06_公用事業,一般消費,30,國內
9999,14438,4819,7/28/11,13_交通(含加值),一般消費,600,國內
10008,1142,18841,7/29/11,07_百貨,一般消費,980,國內
10010,1431,5287,7/29/11,07_百貨,一般消費,450,國內
10011,1431,5287,7/29/11,07_百貨,一般消費,999,國內
10012,1431,5287,7/29/11,07_百貨,一般消費,1422,國內
10014,6448,15195,7/29/11,09_餐飲,一般消費,638,國內
10018,9387,16756,7/29/11,16_無店舖,一般消費,1480,國內
10021,10646,19639,7/29/11,13_交通(含加值),一般消費,1306,國內
10023,10976,2955,7/29/11,13_交通(含加值),一般消費,1392,國內
10028,12077,6118,7/29/11,09_餐飲,一般消費,5005,國內
10031,12820,1896,7/29/11,13_交通(含加值),一般消費,500,國內
10032,12820,1896,7/29/11,13_交通(含加值),一般消費,500,國內
10042,17286,17586,7/29/11,X2.中信錢加值,一般消費,500,國內
10048,1431,5287,8/1/11,X2.中信錢加值,一般消費,500,國內
10049,1431,5287,8/1/11,07_百貨,一般消費,674,國內
10058,6619,19859,8/1/11,07_百貨,一般消費,101,國內
10059,6619,19859,8/1/11,13_交通(含加值),一般消費,1054,國內
10060,6847,5287,8/1/11,15_休閒文化,一般消費,2099,國內
10064,7016,861,8/1/11,14_旅遊,一般消費,10368,國外
10070,9387,16756,8/1/11,16_無店舖,一般消費,990,國內
10071,9387,16756,8/1/11,16_無店舖,一般消費,1280,國內
10072,9387,16756,8/1/11,16_無店舖,一般消費,1280,國內
10073,9387,16756,8/1/11,16_無店舖,一般消費,1280,國內
10078,10205,13546,8/1/11,12_量販超市,一般消費,1705,國內
10086,11921,17157,8/1/11,13_交通(含加值),一般消費,856,國內
10090,12596,4493,8/1/11,13_交通(含加值),一般消費,758,國內
10091,12596,4493,8/1/11,13_交通(含加值),一般消費,870,國內
10096,12989,3044,8/1/11,06_公用事業,一般消費,10,國內
10097,12989,3044,8/1/11,06_公用事業,一般消費,20,國內
10098,12989,3044,8/1/11,06_公用事業,一般消費,20,國內
10101,13174,9988,8/1/11,12_量販超市,一般消費,4393,國內
10102,13327,605,8/1/11,06_公用事業,一般消費,10,國內
10103,13327,605,8/1/11,06_公用事業,一般消費,15,國內
10104,13327,605,8/1/11,06_公用事業,一般消費,150,國內
10112,15130,5978,8/1/11,13_交通(含加值),一般消費,155,國內
10113,15130,5978,8/1/11,15_休閒文化,一般消費,250,國內
10116,16097,8927,8/1/11,12_量販超市,一般消費,3820,國內
10140,18653,9051,8/1/11,11_3C居家電信,一般消費,1280,國內
10149,6448,15195,8/2/11,08_精品,一般消費,2952,國內
10150,6826,13687,8/2/11,12_量販超市,一般消費,1563,國內
10154,8905,89,8/2/11,13_交通(含加值),一般消費,1684,國內
10174,12077,6118,8/2/11,09_餐飲,一般消費,1150,國內
10175,12077,6118,8/2/11,13_交通(含加值),一般消費,6750,國內
10176,12077,6118,8/2/11,13_交通(含加值),一般消費,6750,國內
10180,12596,4493,8/2/11,13_交通(含加值),一般消費,1600,國內
10183,12989,3044,8/2/11,06_公用事業,一般消費,20,國內
10186,13320,4874,8/2/11,13_交通(含加值),一般消費,1350,國內
10187,13327,605,8/2/11,06_公用事業,一般消費,10,國內
10190,14630,5020,8/2/11,13_交通(含加值),一般消費,1355,國內
10194,15180,920,8/2/11,13_交通(含加值),一般消費,2629,國內
10210,18653,9051,8/2/11,11_3C居家電信,一般消費,100,國內
10219,1774,13303,8/3/11,10_藥妝,一般消費,1296,國內
10222,6448,15195,8/3/11,09_餐飲,一般消費,495,國內
10223,6448,15195,8/3/11,09_餐飲,一般消費,1298,國內
10224,6826,13687,8/3/11,11_3C居家電信,一般消費,1981,國內
10231,9338,10195,8/3/11,15_休閒文化,一般消費,4000,國內
10232,9387,16756,8/3/11,14_旅遊,一般消費,27800,國內
10236,10646,19639,8/3/11,11_3C居家電信,一般消費,1042,國內
10237,10740,17190,8/3/11,12_量販超市,一般消費,354,國內
10238,10976,2955,8/3/11,13_交通(含加值),一般消費,1248,國內
10245,12077,6118,8/3/11,12_量販超市,一般消費,785,國內
10246,12077,6118,8/3/11,13_交通(含加值),一般消費,1541,國內
10249,12989,3044,8/3/11,06_公用事業,一般消費,10,國內
10250,13172,14690,8/3/11,12_量販超市,一般消費,400,國內
10251,13172,14690,8/3/11,12_量販超市,一般消費,1896,國內
10252,13327,605,8/3/11,06_公用事業,一般消費,10,國內
10253,13327,605,8/3/11,06_公用事業,一般消費,130,國內
10256,14229,4210,8/3/11,12_量販超市,一般消費,1004,國內
10257,14636,13687,8/3/11,13_交通(含加值),一般消費,1000,國內
10264,18653,9051,8/3/11,11_3C居家電信,一般消費,156,國內
10267,8168,4028,8/4/11,06_公用事業,一般消費,580,國內
10273,13327,605,8/4/11,06_公用事業,一般消費,30,國內
10274,13327,605,8/4/11,06_公用事業,一般消費,105,國內
10284,1431,5287,8/5/11,X2.中信錢加值,一般消費,500,國內
10286,8808,261,8/5/11,13_交通(含加值),一般消費,1441,國內
10296,9387,16756,8/5/11,11_3C居家電信,一般消費,1069,國內
10297,10102,6256,8/5/11,12_量販超市,一般消費,1616,國內
10298,10102,6256,8/5/11,12_量販超市,一般消費,1749,國內
10301,10646,19639,8/5/11,11_3C居家電信,分期消費,39000,國內
10302,10740,17190,8/5/11,03_保險,一般消費,8681,國外
10315,12820,1896,8/5/11,13_交通(含加值),一般消費,500,國內
10316,12820,1896,8/5/11,13_交通(含加值),一般消費,500,國內
10317,12820,1896,8/5/11,13_交通(含加值),一般消費,500,國內
10322,14438,4819,8/5/11,13_交通(含加值),一般消費,600,國內
10323,15180,920,8/5/11,16_無店舖,一般消費,3178,國內
10341,18653,9051,8/5/11,10_藥妝,一般消費,202,國內
10347,1411,14127,8/8/11,07_百貨,一般消費,993,國內
10348,1431,5287,8/8/11,12_量販超市,一般消費,810,國內
10355,6448,15195,8/8/11,15_休閒文化,一般消費,1347,國內
10363,7819,5425,8/8/11,11_3C居家電信,一般消費,900,國內
10364,8088,15580,8/8/11,11_3C居家電信,一般消費,734,國內
10367,8485,773,8/8/11,12_量販超市,一般消費,2803,國內
10368,8811,14127,8/8/11,13_交通(含加值),一般消費,1617,國內
10369,8811,14127,8/8/11,08_精品,一般消費,2592,國內
10370,8915,1809,8/8/11,07_百貨,一般消費,2196,國內
10372,9338,10195,8/8/11,05_捐贈,一般消費,300,國內
10375,10102,6256,8/8/11,06_公用事業,一般消費,304,國內
10376,10102,6256,8/8/11,12_量販超市,一般消費,3099,國內
10384,10646,19639,8/8/11,13_交通(含加值),一般消費,938,國內
10385,10646,19639,8/8/11,06_公用事業,一般消費,1080,國內
10386,10646,19639,8/8/11,11_3C居家電信,一般消費,1081,國內
10388,10976,2955,8/8/11,13_交通(含加值),一般消費,1311,國內
10393,11774,8032,8/8/11,13_交通(含加值),一般消費,250,國內
10394,11774,8032,8/8/11,13_交通(含加值),一般消費,250,國內
10400,12193,10121,8/8/11,13_交通(含加值),一般消費,161,國內
10408,12989,3044,8/8/11,06_公用事業,一般消費,10,國內
10409,12989,3044,8/8/11,06_公用事業,一般消費,10,國內
10410,12989,3044,8/8/11,06_公用事業,一般消費,20,國內
10411,13327,605,8/8/11,06_公用事業,一般消費,10,國內
10412,13327,605,8/8/11,06_公用事業,一般消費,10,國內
10413,13327,605,8/8/11,06_公用事業,一般消費,70,國內
10417,14229,4210,8/8/11,12_量販超市,一般消費,994,國內
10422,15130,5978,8/8/11,13_交通(含加值),一般消費,165,國內
10428,16097,8927,8/8/11,12_量販超市,一般消費,1575,國內
10434,17286,17586,8/8/11,10_藥妝,一般消費,1226,國內
10435,17681,7327,8/8/11,12_量販超市,一般消費,3429,國內
10445,6448,15195,8/9/11,11_3C居家電信,一般消費,1770,國內
10446,6448,15195,8/9/11,08_精品,一般消費,8962,國內
10450,8811,14127,8/9/11,15_休閒文化,一般消費,970,國內
10452,9387,16756,8/9/11,16_無店舖,一般消費,1680,國內
10461,11774,8032,8/9/11,13_交通(含加值),一般消費,1000,國內
10464,12193,10121,8/9/11,03_保險,一般消費,176,國內
10466,12989,3044,8/9/11,06_公用事業,一般消費,10,國內
10468,13327,605,8/9/11,06_公用事業,一般消費,10,國內
10469,13327,605,8/9/11,06_公用事業,一般消費,30,國內
10470,13327,605,8/9/11,06_公用事業,一般消費,30,國內
10472,14240,15933,8/9/11,07_百貨,一般消費,2300,國內
10473,14438,4819,8/9/11,13_交通(含加值),一般消費,700,國內
10475,15180,920,8/9/11,15_休閒文化,一般消費,58,國外
10476,15180,920,8/9/11,13_交通(含加值),一般消費,2336,國內
10493,1774,13303,8/10/11,13_交通(含加值),一般消費,702,國內
10503,6448,15195,8/10/11,09_餐飲,一般消費,1023,國內
10504,6448,15195,8/10/11,12_量販超市,一般消費,1634,國內
10505,6826,13687,8/10/11,10_藥妝,一般消費,234,國內
10506,6826,13687,8/10/11,07_百貨,一般消費,1130,國內
10507,6826,13687,8/10/11,12_量販超市,一般消費,2765,國內
10514,7816,4874,8/10/11,12_量販超市,一般消費,291,國內
10515,7816,4874,8/10/11,11_3C居家電信,一般消費,849,國內
10521,8811,14127,8/10/11,08_精品,一般消費,490,國內
10522,8811,14127,8/10/11,08_精品,一般消費,1900,國內
10526,9691,9209,8/10/11,11_3C居家電信,一般消費,430,國內
10543,10646,19639,8/10/11,13_交通(含加值),一般消費,1366,國內
10544,10646,19639,8/10/11,11_3C居家電信,一般消費,1430,國內
10548,11921,17157,8/10/11,12_量販超市,一般消費,1178,國內
10550,12077,6118,8/10/11,12_量販超市,一般消費,477,國內
10552,12193,10121,8/10/11,15_休閒文化,一般消費,700,國內
10556,12754,3405,8/10/11,13_交通(含加值),一般消費,871,國內
10560,12989,3044,8/10/11,06_公用事業,一般消費,20,國內
10564,13327,605,8/10/11,06_公用事業,一般消費,10,國內
10565,13327,605,8/10/11,06_公用事業,一般消費,20,國內
10566,13327,605,8/10/11,06_公用事業,一般消費,90,國內
10567,13513,9125,8/10/11,11_3C居家電信,一般消費,297,國內
10580,17495,13863,8/10/11,11_3C居家電信,一般消費,1445,國內
10584,18345,10699,8/10/11,06_公用事業,一般消費,6743,國內
10585,18653,9051,8/10/11,10_藥妝,一般消費,850,國內
10586,6826,13687,8/11/11,07_百貨,一般消費,485,國內
10590,7819,5425,8/11/11,12_量販超市,一般消費,499,國內
10591,8811,14127,8/11/11,13_交通(含加值),一般消費,1843,國內
10599,12077,6118,8/11/11,09_餐飲,一般消費,1380,國內
10605,15180,920,8/11/11,13_交通(含加值),一般消費,2340,國內
10610,17200,15353,8/11/11,16_無店舖,一般消費,1686,國內
10633,12077,6118,8/12/11,09_餐飲,一般消費,382,國內
10634,12077,6118,8/12/11,13_交通(含加值),一般消費,5797,國內
10639,13327,605,8/12/11,06_公用事業,一般消費,30,國內
10640,13327,605,8/12/11,06_公用事業,一般消費,105,國內
10642,14229,4210,8/12/11,12_量販超市,一般消費,450,國內
10650,17200,15353,8/12/11,11_3C居家電信,一般消費,949,國內
10652,18174,1747,8/12/11,03_保險,一般消費,1197,國內
10659,1431,5287,8/15/11,X2.中信錢加值,一般消費,500,國內
10667,8811,14127,8/15/11,09_餐飲,一般消費,2689,國內
10677,10745,106,8/15/11,13_交通(含加值),一般消費,500,國內
10691,11774,8032,8/15/11,13_交通(含加值),一般消費,250,國內
10696,12077,6118,8/15/11,13_交通(含加值),一般消費,1863,國內
10698,12193,10121,8/15/11,13_交通(含加值),一般消費,174,國內
10699,12193,10121,8/15/11,13_交通(含加值),一般消費,230,國內
10704,12820,1896,8/15/11,13_交通(含加值),一般消費,500,國內
10706,12989,3044,8/15/11,06_公用事業,一般消費,10,國內
10707,12989,3044,8/15/11,06_公用事業,一般消費,20,國內
10708,12989,3044,8/15/11,06_公用事業,一般消費,30,國內
10711,13327,605,8/15/11,06_公用事業,一般消費,10,國內
10712,13327,605,8/15/11,06_公用事業,一般消費,10,國內
10713,13327,605,8/15/11,06_公用事業,一般消費,60,國內
10714,13327,605,8/15/11,06_公用事業,一般消費,60,國內
10721,14229,4210,8/15/11,12_量販超市,一般消費,594,國內
10723,14636,13687,8/15/11,13_交通(含加值),一般消費,1000,國內
10727,15130,5978,8/15/11,13_交通(含加值),一般消費,158,國內
10728,15180,920,8/15/11,15_休閒文化,一般消費,360,國內
10736,16814,6402,8/15/11,12_量販超市,一般消費,1461,國內
10738,17200,15353,8/15/11,11_3C居家電信,一般消費,1600,國內
10750,6448,15195,8/16/11,15_休閒文化,一般消費,460,國內
10752,7016,861,8/16/11,16_無店舖,一般消費,1000,國內
10753,7016,861,8/16/11,16_無店舖,一般消費,1000,國內
10754,7016,861,8/16/11,16_無店舖,一般消費,3000,國內
10756,8811,14127,8/16/11,14_旅遊,一般消費,1620,國內
10757,8811,14127,8/16/11,13_交通(含加值),一般消費,1712,國內
10758,8811,14127,8/16/11,08_精品,一般消費,1738,國內
10762,9387,16756,8/16/11,13_交通(含加值),一般消費,2800,國內
10769,12193,10121,8/16/11,13_交通(含加值),一般消費,1038,國內
10773,12754,3405,8/16/11,12_量販超市,一般消費,1177,國內
10775,12989,3044,8/16/11,06_公用事業,一般消費,10,國內
10776,12989,3044,8/16/11,06_公用事業,一般消費,10,國內
10781,13327,605,8/16/11,06_公用事業,一般消費,10,國內
10782,13327,605,8/16/11,06_公用事業,一般消費,15,國內
10783,13513,9125,8/16/11,12_量販超市,一般消費,1121,國內
10784,13513,9125,8/16/11,16_無店舖,一般消費,1280,國內
10786,15250,6527,8/16/11,12_量販超市,一般消費,968,國內
10795,18162,11368,8/16/11,15_休閒文化,一般消費,29,國外
10797,41,2027,8/17/11,12_量販超市,一般消費,815,國內
10798,41,2027,8/17/11,12_量販超市,一般消費,2697,國內
10799,41,2027,8/17/11,12_量販超市,一般消費,17999,國內
10804,6448,15195,8/17/11,09_餐飲,一般消費,2684,國內
10805,6826,13687,8/17/11,12_量販超市,一般消費,1717,國內
10807,7051,16697,8/17/11,08_精品,一般消費,1560,國內
10820,9950,10195,8/17/11,13_交通(含加值),一般消費,1600,國內
10821,10205,13546,8/17/11,12_量販超市,一般消費,1399,國內
10831,11774,8032,8/17/11,13_交通(含加值),一般消費,500,國內
10838,12989,3044,8/17/11,06_公用事業,一般消費,10,國內
10842,13327,605,8/17/11,06_公用事業,一般消費,10,國內
10843,13327,605,8/17/11,06_公用事業,一般消費,130,國內
10844,13327,605,8/17/11,06_公用事業,一般消費,135,國內
10848,14438,4819,8/17/11,13_交通(含加值),一般消費,700,國內
10857,17200,15353,8/17/11,12_量販超市,一般消費,580,國內
10864,6448,15195,8/18/11,07_百貨,一般消費,670,國內
10867,8905,89,8/18/11,13_交通(含加值),一般消費,1590,國內
10873,10740,17190,8/18/11,13_交通(含加值),一般消費,115,國內
10878,12956,14127,8/18/11,12_量販超市,一般消費,2316,國內
10882,14636,13687,8/18/11,16_無店舖,一般消費,4000,國內
10883,14636,13687,8/18/11,16_無店舖,一般消費,4150,國內
10899,1431,5287,8/19/11,07_百貨,一般消費,90,國內
10900,1431,5287,8/19/11,12_量販超市,一般消費,1113,國內
10901,1431,5287,8/19/11,07_百貨,一般消費,1440,國內
10911,10976,2955,8/19/11,13_交通(含加值),一般消費,1396,國內
10917,11921,17157,8/19/11,12_量販超市,一般消費,225,國內
10921,12797,19483,8/19/11,07_百貨,一般消費,1780,國內
10922,12820,1896,8/19/11,13_交通(含加值),一般消費,500,國內
10923,12820,1896,8/19/11,13_交通(含加值),一般消費,500,國內
10924,13327,605,8/19/11,06_公用事業,一般消費,140,國內
10927,14229,4210,8/19/11,12_量販超市,一般消費,533,國內
10928,15180,920,8/19/11,16_無店舖,一般消費,1380,國內
10935,18345,10699,8/19/11,06_公用事業,一般消費,973,國內
10939,905,6475,8/22/11,07_百貨,一般消費,184,國內
10948,1431,5287,8/22/11,09_餐飲,一般消費,1029,國內
10952,6826,13687,8/22/11,14_旅遊,一般消費,2024,國內
10953,7051,16697,8/22/11,12_量販超市,一般消費,371,國內
10954,7727,13196,8/22/11,15_休閒文化,一般消費,580,國內
10955,7816,4874,8/22/11,09_餐飲,一般消費,1250,國內
10958,8808,261,8/22/11,13_交通(含加值),一般消費,1335,國內
10961,8915,1809,8/22/11,10_藥妝,一般消費,1230,國內
10962,8915,1809,8/22/11,07_百貨,一般消費,1800,國內
10963,8915,1809,8/22/11,07_百貨,一般消費,2180,國內
10968,9950,10195,8/22/11,13_交通(含加值),一般消費,1238,國內
10974,10646,19639,8/22/11,13_交通(含加值),一般消費,883,國內
10975,10976,2955,8/22/11,13_交通(含加值),一般消費,1604,國內
10981,11774,8032,8/22/11,13_交通(含加值),一般消費,250,國內
10982,11774,8032,8/22/11,13_交通(含加值),一般消費,1000,國內
10985,12193,10121,8/22/11,10_藥妝,一般消費,2139,國內
10999,12754,3405,8/22/11,13_交通(含加值),一般消費,722,國內
11002,12989,3044,8/22/11,06_公用事業,一般消費,20,國內
11003,12989,3044,8/22/11,06_公用事業,一般消費,20,國內
11004,12989,3044,8/22/11,06_公用事業,一般消費,20,國內
11006,13320,4874,8/22/11,13_交通(含加值),一般消費,1243,國內
11007,13327,605,8/22/11,06_公用事業,一般消費,10,國內
11008,13327,605,8/22/11,06_公用事業,一般消費,10,國內
11009,13327,605,8/22/11,06_公用事業,一般消費,15,國內
11010,13327,605,8/22/11,06_公用事業,一般消費,20,國內
11011,13327,605,8/22/11,06_公用事業,一般消費,20,國內
11012,13327,605,8/22/11,06_公用事業,一般消費,50,國內
11013,13327,605,8/22/11,06_公用事業,一般消費,135,國內
11014,13327,605,8/22/11,06_公用事業,一般消費,160,國內
11018,14636,13687,8/22/11,16_無店舖,一般消費,41840,國內
11022,15180,920,8/22/11,13_交通(含加值),一般消費,2269,國內
11023,15180,920,8/22/11,13_交通(含加值),一般消費,2288,國內
11034,17200,15353,8/22/11,13_交通(含加值),一般消費,939,國內
11057,8775,10195,8/23/11,12_量販超市,一般消費,191,國內
11059,9387,16756,8/23/11,11_3C居家電信,一般消費,303,國外
11060,9387,16756,8/23/11,07_百貨,一般消費,426,國外
11069,12077,6118,8/23/11,15_休閒文化,一般消費,860,國內
11070,12077,6118,8/23/11,13_交通(含加值),一般消費,1768,國內
11071,12077,6118,8/23/11,09_餐飲,一般消費,2209,國內
11074,12193,10121,8/23/11,03_保險,一般消費,826,國內
11075,12193,10121,8/23/11,03_保險,一般消費,1404,國內
11079,12989,3044,8/23/11,06_公用事業,一般消費,20,國內
11082,13327,605,8/23/11,06_公用事業,一般消費,110,國內
11090,17200,15353,8/23/11,12_量販超市,一般消費,472,國內
11091,17200,15353,8/23/11,07_百貨,一般消費,990,國內
11094,17681,7327,8/23/11,02_學費/教育,一般消費,55710,國內
11095,18174,1747,8/23/11,03_保險,一般消費,1008,國內
11096,814,7437,8/24/11,11_3C居家電信,一般消費,868,國內
11106,6826,13687,8/24/11,07_百貨,一般消費,476,國內
11107,6826,13687,8/24/11,15_休閒文化,一般消費,1156,國內
11108,6826,13687,8/24/11,07_百貨,一般消費,1400,國內
11109,6826,13687,8/24/11,12_量販超市,一般消費,2129,國內
11110,6826,13687,8/24/11,07_百貨,一般消費,2210,國內
11114,7727,13196,8/24/11,07_百貨,一般消費,783,國內
11115,7727,13196,8/24/11,07_百貨,一般消費,1012,國內
11116,7816,4874,8/24/11,11_3C居家電信,一般消費,1542,國內
11117,7819,5425,8/24/11,11_3C居家電信,一般消費,788,國內
11118,8006,867,8/24/11,09_餐飲,一般消費,1236,國內
11119,8143,131,8/24/11,13_交通(含加值),一般消費,1421,國內
11120,8485,773,8/24/11,09_餐飲,一般消費,1432,國內
11121,8485,773,8/24/11,15_休閒文化,一般消費,2088,國內
11130,10646,19639,8/24/11,13_交通(含加值),一般消費,1334,國內
11132,11921,17157,8/24/11,13_交通(含加值),一般消費,130,國內
11136,12989,3044,8/24/11,06_公用事業,一般消費,20,國內
11138,13174,9988,8/24/11,12_量販超市,一般消費,3390,國內
11140,13327,605,8/24/11,06_公用事業,一般消費,10,國內
11141,13327,605,8/24/11,06_公用事業,一般消費,25,國內
11142,14229,4210,8/24/11,12_量販超市,一般消費,1518,國內
11144,15130,5978,8/24/11,13_交通(含加值),一般消費,165,國內
11150,17200,15353,8/24/11,12_量販超市,一般消費,816,國內
11151,17200,15353,8/24/11,08_精品,一般消費,1973,國內
11164,8485,773,8/25/11,14_旅遊,一般消費,1600,國內
11171,9387,16756,8/25/11,05_捐贈,一般消費,1000,國內
11172,9625,4028,8/25/11,11_3C居家電信,一般消費,214,國內
11174,10102,6256,8/25/11,12_量販超市,一般消費,3036,國內
11180,10646,19639,8/25/11,07_百貨,一般消費,1512,國內
11181,10740,17190,8/25/11,11_3C居家電信,一般消費,77,國內
11182,10740,17190,8/25/11,11_3C居家電信,一般消費,405,國內
11183,10740,17190,8/25/11,11_3C居家電信,一般消費,438,國內
11184,10740,17190,8/25/11,11_3C居家電信,一般消費,556,國內
11185,10740,17190,8/25/11,10_藥妝,一般消費,4310,國內
11194,12077,6118,8/25/11,12_量販超市,一般消費,1269,國內
11195,12193,10121,8/25/11,12_量販超市,一般消費,208,國內
11210,14636,13687,8/25/11,13_交通(含加值),一般消費,1000,國內
11216,17495,13863,8/25/11,11_3C居家電信,一般消費,1443,國內
11223,9387,16756,8/26/11,05_捐贈,一般消費,3000,國內
11224,10102,6256,8/26/11,06_公用事業,一般消費,188,國內
